prompt,completion
"Sport & Fitness Activity is Walking, Hiking & Camping. Washing Instructions is Sponge Clean Only. Brand is Haglöfs. Occasion Type is Casual. Shoe Or Boot Style is Walking. Main Shoe Material is Leather. Fabric Features is Gore-tex, Waterproof. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: leather, Sole: rubber.","Perfect for endurance Nordic mountain adventures and varied terrain, they're equipped with GORE-TEX and high impact cushioning to keep your feet dry and comfortable.
The padded ankles and wet grip traction reinforce stability, so go ahead and pursue your path with confidence."
"Brand is Dune. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: synthetic.","These Tribute trainers from Dune are a contemporary choice for day to evening wear.
Crafted from sleek leather in a sporty cupsole design with a rubber sole, they're finished with zip detailing for a fashion-forward aesthetic."
Sport & Fitness Activity is Running. Washing Instructions is Wipe Clean only. Brand is On. Occasion Type is Casual. Performance Running Type is Cushioned. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Polyester. Fabric Features is Breathable. Fastening is Lace-Up. Composition is 100% recycled polyester. Sustainable Material is Recycled.,"Sure to have you pounding the pavement in style, these sports trainers from On are made from robust material that will see you through wear after wear.
Lacing up at the front, pair with jeans and a relaxed shirt and get ready for the weekend."
"Washing Instructions is Machine Washable. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Textile. Fastening is Lace-Up. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: textile, Lining: textile, Sole: other.","Sure to have you looking and performing at your best on the track, these sports trainers from Skechers boast textile uppers that support you as you move.
Lacing up for a snug fit, they're the perfect choice for the weekend."
"Sport & Fitness Activity is Running. Washing Instructions is Wipe Clean Only. Brand is ASICS. Occasion Type is Casual. Performance Running Type is Neutral. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Fabric Features is Breathable. Suitable for Vegans/Vegetarians is Suitable For Vegans, Suitable For Vegetarians. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Composition is Upper: synthetic textile, Sole: rubber.","A soft engineered knit upper comfortably wraps your foot while supplying advanced ventilation. Its updated knit collar construction provides better flexibility and extends around the ankle for a more luxurious fit and feel. The midsole is packed with the most cushioning that the series has offered to date. By using FF BLAST PLUS ECO cushioning, this trainer creates a lighter and softer cushioning experience with less of an impact on the environment."
"Brand is Josef Seibel. Occasion Type is Casual. Shoe Or Boot Style is Walking. Main Shoe Material is Leather. Fastening is Slip-On. Toe Detail is Round. Material is Upper: leather, Sole: synthetic.","Ideal for the urban adventurer, these walking shoes from Josef Seibel are crafted from premium leather for long-lasting quality.
Easily slipping on, combine with chinos and a comfy tee for a go-to off-duty ensemble."
"Washing Instructions is Do Not Wash. Brand is Reiss. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Composition is Upper: 85% calf leather, 15% calf suede, Sole: rubber, Lining: 50% calf leather, 50% polyester.","Tapping into the sports luxe trend, these trainers from Reiss are crafted from quality leather for enduring quality.
Lacing up for a snug fit, they're the perfect choice for the weekend."
"Washing Instructions is Do Not Wash. Brand is Geox. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Fastening is Lace-Up. Comfort and Fit is Wide Fit. Toe Detail is Round. Material is Upper: leather/suede, Sole: rubber, Lining: textile.","These shoes feature a thermal lining that can protect against even the harshest temperatures.
Geox technology at the service of comfort and practicality. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day."
"Sport & Fitness Activity is Walking, Hiking & Camping. Brand is adidas. Occasion Type is Casual. Performance Running Type is Trail. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Fabric Features is Gore-tex, Waterproof. Suitable for Vegans/Vegetarians is Suitable For Vegans. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: synthetic textile, Sole: rubber.","The outdoors is made for exploring, and these adidas hiking shoes are built to explore high and low, near and far. Their multi-sport design is light enough for day hikes and technical enough for alpine scrambles and via ferratas. 


They support your feet with a lightweight yet rugged and stable feel, so you can focus on your route. Waterproof, breathable GORE-TEX seals out water and mud while letting your feet breathe.
A gusseted tongue and padded ankle-height cuff hug the foot and seal out dust and debris for running-shoe-inspired comfort. The all-conditions grip of Continental™ Rubber means you can move with confidence across rocky scree, wet roots and loose, dusty trails. Lace-up, and get out there."
"Washing Instructions is Wipe Clean Only. Brand is Reiss. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Composition is Upper: suede, Sole: rubber.","These Finley trainers from Reiss offer a luxurious take on a sportswear-inspired style.
Crafted from supple suede leather, their low top, round toe design is detailed with flat laces and a crisp white rubber sole."
"Brand is Crew Clothing. Occasion Type is Casual. Shoe Or Boot Style is Chelsea Boots. Main Shoe Material is Leather. Suitable for Vegans/Vegetarians is Not Suitable For Vegans. Fastening is Slip-On. Toe Detail is Closed Toe, Round. Composition is Upper: leather, .","Showcasing a timeless design, these Chelsea boots from Crew Clothing boast a premium leather construction.
Slipping on when needed, pair with jeans and a relaxed shirt for off-duty days."
"Sport & Fitness Activity is Leisure. Washing Instructions is Wipe Clean Only. Brand is adidas. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Textile. Fastening is Lace-Up. Comfort and Fit is Underfoot Cushioning. Material is Upper: textile, Sole: rubber, Lining: textile.","Featuring iconic adidas style, these men's running-inspired shoes are ready for adventure. 
The Cloudfoam Super midsole cushions your feet for all-day comfort, and a full rubber outsole provides dependable traction on any surface. This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
"Brand is Crocs. Occasion Type is Casual. Shoe Or Boot Style is Mules. Main Shoe Material is Synthetic. Suitable for Vegans/Vegetarians is Suitable For Vegans, Suitable For Vegetarians. Toe Detail is Round. Composition is Upper: rubber, Sole: rubber.","Crocs Bistro clogs are created using the brand's innovation Croslite™ foam technology, with waterproof, stain-proof and odour resistant qualities. The iconic silhouette is finished with a slingback strap, keeping feet secure and comfortable no matter if you're wearing them at home or by the beach."
"Sport & Fitness Activity is Running. Washing Instructions is Wipe Clean Only   . Brand is Under Armour. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Fabric Features is Breathable, Lightweight. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Round. Composition is Upper: synthetic, Sole: rubber.","Almost as light as a tempo shoe, but with more cushioning, the UA HOVR™ Sonic has been an instant favourite for runners who like distance but want more flexibility. And now, with real-time Form Coaching from UA MapMyRun™ they can help you become a better runner—making the UA HOVR™ Sonic 6 a no-brainer.
Built on the HOVR foundation, Under Armour's signature technology delivers a ""zero-gravity feel"" through the midsole that maintains energy return and reduces muscle fatigue. For you, this means being able to run further and conserving more energy throughout, with the compression mesh Energy Web helping guide the foot and Achilles through its natural gait cycle.
Guidance and energy conservation is only half the capability of this trainer though. Under Armour's legacy of innovation extends itself through the upper: the fast-drying, breathable knit provides a comfortable, snug fit throughout for lightweight directional strength, with an external TPU heel counter added in for additional support and structure."
"Sport & Fitness Activity is Running. Washing Instructions is Hand Wash Only. Brand is On. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Polyester. Performance Running Type is Cushioned. Fabric Features is Breathable. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Composition is Upper: synthetic textile, Sole: rubber.","Whether you're a new runner, just getting back into running, or just looking for a regular training shoe, the Cloudrunner combines the soft feel you want with the support you need.

The Cloudrunner offers a super-soft landing thanks to CloudTec® cushioning in ultralight Zero-Gravity foam. Plus, the wider bottom unit and a cradle-shaped construction support you at (literally) every step of your running journey. So there's nothing that can hold you back. Sorry, gravity.


 The Cloudrunner is famous for its unmatched step-in feel, thanks to the blend of soft-touch fabrics used in the upper. The breathable, antimicrobial mesh provides stay-fresh comfort, while soft, no-sew taped reinforcements across the shoe and toe cap support the perfect fit.
The more you run or walk, the more room you need. On trainers and boots are typically designed narrower in the heel and tongue; please consider going up a size if you have wide feet."
